36.0,1.0,21.0,1.0,4110.0,42.0,1.0,35.0,Male,1.0,Y
48.0,1.0,16.0,3.0,9120.0,303.0,0.0,14.0,Female,1.0,N
20.0,1.0,14.0,5.0,4720.0,6.0,2.0,35.0,Female,1.0,N
41.0,4.0,17.0,1.0,5920.0,6.0,1.0,40.0,Female,1.0,Y
70.0,2.0,19.0,1.0,9120.0,28.0,0.0,32.0,Male,1.0,Y
33.0,2.0,6.0,1.0,6050.0,303.0,0.0,55.0,Male,1.0,N
33.0,1.0,9.0,1.0,6050.0,303.0,16.0,42.0,Male,8.0,N
28.0,1.0,20.0,5.0,4030.0,137.0,13.0,25.0,Female,1.0,N
31.0,1.0,22.0,1.0,5120.0,36.0,0.0,45.0,Male,1.0,Y
65.0,1.0,21.0,1.0,205.0,6.0,1.0,40.0,Male,1.0,N
19.0,1.0,19.0,5.0,4030.0,6.0,2.0,20.0,Male,1.0,N
22.0,1.0,19.0,5.0,9620.0,6.0,2.0,24.0,Male,6.0,N
46.0,6.0,16.0,5.0,6420.0,303.0,11.0,40.0,Male,8.0,N
51.0,1.0,19.0,1.0,1550.0,6.0,0.0,40.0,Male,1.0,Y
50.0,1.0,21.0,1.0,1360.0,6.0,0.0,40.0,Male,1.0,Y
21.0,1.0,16.0,1.0,7630.0,6.0,0.0,40.0,Male,1.0,N
74.0,2.0,18.0,1.0,5120.0,6.0,1.0,24.0,Female,1.0,N
44.0,1.0,23.0,1.0,410.0,26.0,0.0,50.0,Male,1.0,Y
42.0,2.0,21.0,1.0,2300.0,6.0,1.0,15.0,Female,1.0,N
58.0,1.0,19.0,4.0,5400.0,6.0,12.0,40.0,Female,1.0,N
63.0,1.0,18.0,1.0,630.0,48.0,0.0,90.0,Female,1.0,Y
28.0,1.0,21.0,3.0,4040.0,6.0,13.0,16.0,Female,1.0,N
17.0,1.0,17.0,5.0,5240.0,6.0,2.0,4.0,Male,1.0,N
34.0,6.0,19.0,5.0,2910.0,6.0,2.0,72.0,Male,6.0,N
54.0,1.0,19.0,1.0,7330.0,17.0,1.0,40.0,Male,1.0,Y
42.0,1.0,23.0,1.0,5260.0,6.0,0.0,37.0,Female,1.0,N
49.0,5.0,22.0,1.0,1550.0,6.0,1.0,40.0,Male,2.0,Y
58.0,7.0,21.0,1.0,3630.0,205.0,0.0,40.0,Male,6.0,N
48.0,4.0,19.0,1.0,5250.0,42.0,0.0,40.0,Female,2.0,N
49.0,1.0,20.0,1.0,5700.0,6.0,1.0,15.0,Female,6.0,N
37.0,5.0,21.0,5.0,1320.0,6.0,0.0,50.0,Male,8.0,Y
18.0,1.0,16.0,5.0,6050.0,6.0,2.0,10.0,Male,1.0,N
34.0,3.0,19.0,5.0,2000.0,6.0,12.0,40.0,Female,1.0,N
27.0,1.0,19.0,5.0,3600.0,6.0,2.0,32.0,Female,2.0,N
28.0,1.0,16.0,5.0,9130.0,313.0,0.0,30.0,Male,1.0,N
60.0,4.0,20.0,1.0,4610.0,224.0,1.0,60.0,Female,1.0,N
48.0,1.0,20.0,5.0,5120.0,37.0,0.0,40.0,Female,2.0,N
26.0,1.0,13.0,1.0,6200.0,303.0,9.0,40.0,Male,1.0,N
17.0,1.0,14.0,5.0,4720.0,6.0,2.0,15.0,Female,9.0,N
43.0,1.0,23.0,1.0,2100.0,36.0,0.0,40.0,Female,1.0,Y
37.0,3.0,21.0,1.0,2310.0,6.0,1.0,40.0,Female,6.0,Y
33.0,6.0,21.0,5.0,6260.0,26.0,0.0,19.0,Male,1.0,N
56.0,3.0,21.0,1.0,430.0,6.0,0.0,50.0,Male,1.0,Y
62.0,1.0,20.0,1.0,9130.0,48.0,1.0,40.0,Male,2.0,Y
60.0,1.0,18.0,3.0,7750.0,48.0,11.0,40.0,Male,1.0,N
60.0,4.0,16.0,1.0,4220.0,315.0,6.0,20.0,Male,8.0,N
76.0,3.0,1.0,3.0,3940.0,303.0,6.0,2.0,Male,1.0,N
27.0,1.0,19.0,1.0,4010.0,6.0,0.0,24.0,Female,2.0,N
29.0,1.0,19.0,1.0,4720.0,6.0,9.0,20.0,Female,1.0,N
47.0,1.0,20.0,1.0,3500.0,233.0,5.0,40.0,Female,6.0,Y
53.0,1.0,16.0,3.0,7750.0,303.0,0.0,48.0,Female,1.0,N
58.0,1.0,22.0,1.0,430.0,17.0,0.0,45.0,Male,1.0,Y
48.0,6.0,17.0,1.0,6230.0,6.0,1.0,35.0,Male,1.0,Y
64.0,3.0,22.0,3.0,2200.0,6.0,12.0,14.0,Male,1.0,N
54.0,1.0,16.0,2.0,4150.0,6.0,0.0,38.0,Female,1.0,N
42.0,2.0,21.0,5.0,2310.0,139.0,0.0,40.0,Male,1.0,N
44.0,1.0,10.0,1.0,4020.0,303.0,1.0,40.0,Male,1.0,N
29.0,2.0,22.0,5.0,2010.0,6.0,0.0,42.0,Female,1.0,N
51.0,1.0,16.0,3.0,5120.0,6.0,2.0,40.0,Female,1.0,N
68.0,4.0,22.0,1.0,2200.0,6.0,1.0,32.0,Female,1.0,Y
45.0,6.0,19.0,1.0,2900.0,26.0,1.0,20.0,Male,1.0,N
31.0,1.0,19.0,1.0,7560.0,6.0,10.0,40.0,Male,8.0,N
61.0,1.0,23.0,1.0,10.0,212.0,0.0,60.0,Male,1.0,Y
41.0,4.0,16.0,1.0,3800.0,6.0,1.0,40.0,Male,1.0,Y
28.0,1.0,16.0,1.0,6050.0,303.0,1.0,40.0,Female,1.0,N
45.0,3.0,21.0,1.0,2015.0,6.0,1.0,40.0,Male,1.0,Y
37.0,1.0,9.0,5.0,6260.0,303.0,0.0,30.0,Male,1.0,N
29.0,1.0,20.0,5.0,4760.0,6.0,7.0,40.0,Female,1.0,N
49.0,1.0,20.0,5.0,4700.0,6.0,0.0,48.0,Male,9.0,Y
45.0,6.0,18.0,1.0,6260.0,53.0,1.0,50.0,Male,1.0,N
45.0,1.0,20.0,1.0,4920.0,301.0,1.0,60.0,Male,1.0,Y
21.0,1.0,20.0,5.0,4000.0,6.0,2.0,33.0,Male,1.0,N
37.0,1.0,20.0,3.0,5860.0,6.0,0.0,40.0,Female,1.0,N
